Date,Open,High,Low,Close,Change (Pips),Change (%)
2/26/2018 0:00,107.175,107.175,106.372,106.946,-22.9,-0.21%
2/27/2018 0:00,106.907,107.677,106.785,107.327,42,0.39%
2/28/2018 0:00,107.322,107.526,106.564,106.682,-64,-0.60%
3/1/2018 0:00,106.669,107.203,106.162,106.238,-43.1,-0.41%
3/2/2018 0:00,106.223,106.297,105.247,105.722,-50.1,-0.47%
3/5/2018 0:00,105.443,106.237,105.349,106.196,75.3,0.71%
3/6/2018 0:00,106.192,106.465,105.852,106.118,-7.4,-0.07%
3/7/2018 0:00,106.126,106.224,105.457,106.063,-6.3,-0.06%
3/8/2018 0:00,106.066,106.316,105.892,106.198,13.2,0.12%
3/9/2018 0:00,106.195,107.053,106.154,106.803,60.8,0.57%
3/12/2018 0:00,106.65,106.974,106.316,106.413,-23.7,-0.22%
3/13/2018 0:00,106.41,107.295,106.255,106.578,16.8,0.16%
3/14/2018 0:00,106.572,106.751,106.066,106.327,-24.5,-0.23%
3/15/2018 0:00,106.318,106.414,105.785,106.341,2.3,0.02%
3/16/2018 0:00,106.339,106.377,105.603,106.012,-32.7,-0.31%
3/19/2018 0:00,105.908,106.306,105.677,106.095,18.7,0.18%
3/20/2018 0:00,106.085,106.605,105.926,106.533,44.8,0.42%
3/21/2018 0:00,106.533,106.638,105.878,106.042,-49.1,-0.46%
3/22/2018 0:00,106.048,106.086,105.261,105.28,-76.8,-0.73%
3/23/2018 0:00,105.275,105.404,104.636,104.719,-55.6,-0.53%
3/26/2018 0:00,104.655,105.479,104.629,105.397,74.2,0.70%
3/27/2018 0:00,105.404,105.906,105.326,105.332,-7.2,-0.07%
3/28/2018 0:00,105.326,107.011,105.324,106.851,152.5,1.43%
3/29/2018 0:00,106.833,106.934,106.267,106.428,-40.5,-0.38%
3/30/2018 0:00,106.424,106.54,106.125,106.272,-15.2,-0.14%
4/2/2018 0:00,106.166,106.448,105.656,105.901,-26.5,-0.25%
4/3/2018 0:00,105.876,106.657,105.692,106.604,72.8,0.68%
4/4/2018 0:00,106.608,106.849,105.991,106.774,16.6,0.16%
4/5/2018 0:00,106.76,107.49,106.708,107.382,62.2,0.58%
4/6/2018 0:00,107.381,107.461,106.776,106.942,-43.9,-0.41%
4/9/2018 0:00,106.96,107.201,106.614,106.745,-21.5,-0.20%
4/10/2018 0:00,106.768,107.397,106.616,107.198,43,0.40%
4/11/2018 0:00,107.194,107.25,106.649,106.79,-40.4,-0.38%
4/12/2018 0:00,106.782,107.428,106.698,107.346,56.4,0.53%
4/13/2018 0:00,107.313,107.779,107.204,107.343,3,0.03%
4/16/2018 0:00,107.494,107.606,107.034,107.112,-38.2,-0.36%
4/17/2018 0:00,107.106,107.21,106.88,107.005,-10.1,-0.09%
4/18/2018 0:00,106.999,107.385,106.984,107.225,22.6,0.21%
4/19/2018 0:00,107.23,107.518,107.184,107.372,14.2,0.13%
4/20/2018 0:00,107.355,107.855,107.354,107.64,28.5,0.26%
4/23/2018 0:00,107.785,108.754,107.663,108.702,91.7,0.84%
4/24/2018 0:00,108.702,109.204,108.545,108.814,11.2,0.10%
4/25/2018 0:00,108.812,109.454,108.785,109.425,61.3,0.56%
4/26/2018 0:00,109.417,109.467,109.063,109.3,-11.7,-0.11%
4/27/2018 0:00,109.289,109.536,108.954,109.079,-21,-0.19%
4/30/2018 0:00,109.062,109.453,109.021,109.325,26.3,0.24%
5/1/2018 0:00,109.336,109.89,109.236,109.863,52.7,0.48%
5/2/2018 0:00,109.855,110.033,109.592,109.845,-1,-0.01%
5/3/2018 0:00,109.83,109.916,108.928,109.194,-63.6,-0.58%
5/4/2018 0:00,109.19,109.276,108.65,109.063,-12.7,-0.12%
5/7/2018 0:00,109.112,109.398,108.758,109.092,-2,-0.02%
5/8/2018 0:00,109.084,109.348,108.824,109.131,4.7,0.04%
5/9/2018 0:00,109.121,109.833,108.996,109.743,62.2,0.57%
5/10/2018 0:00,109.738,110.016,109.314,109.39,-34.8,-0.32%
5/11/2018 0:00,109.389,109.566,109.149,109.364,-2.5,-0.02%
5/14/2018 0:00,109.335,109.672,109.209,109.645,31,0.28%
5/15/2018 0:00,109.642,110.453,109.642,110.35,70.8,0.64%
5/16/2018 0:00,110.341,110.403,110.04,110.403,6.2,0.06%
5/17/2018 0:00,110.394,110.861,110.074,110.775,38.1,0.34%
5/18/2018 0:00,110.745,111.081,110.607,110.763,1.8,0.02%
5/21/2018 0:00,110.871,111.396,110.822,111.044,17.3,0.16%
5/22/2018 0:00,111.032,111.183,110.794,110.894,-13.8,-0.12%
5/23/2018 0:00,110.893,110.921,109.558,110.083,-81,-0.74%
5/24/2018 0:00,110.067,110.088,108.952,109.246,-82.1,-0.75%
5/25/2018 0:00,109.241,109.744,109.059,109.444,20.3,0.19%
5/28/2018 0:00,109.74,109.83,109.234,109.409,-33.1,-0.30%
5/29/2018 0:00,109.397,109.466,108.112,108.767,-63,-0.58%
5/30/2018 0:00,108.754,109.074,108.352,108.901,14.7,0.13%
5/31/2018 0:00,108.904,109.004,108.386,108.809,-9.5,-0.09%
6/1/2018 0:00,108.806,109.736,108.724,109.509,70.3,0.64%
6/4/2018 0:00,109.448,109.852,109.369,109.814,36.6,0.33%
6/5/2018 0:00,109.814,110.006,109.473,109.795,-1.9,-0.02%
6/6/2018 0:00,109.776,110.264,109.774,110.185,40.9,0.37%
6/7/2018 0:00,110.174,110.219,109.473,109.696,-47.8,-0.44%
6/8/2018 0:00,109.686,109.849,109.195,109.534,-15.2,-0.14%
6/11/2018 0:00,109.288,110.118,109.28,110.033,74.5,0.68%
6/12/2018 0:00,110.033,110.494,109.954,110.372,33.9,0.31%
6/13/2018 0:00,110.359,110.848,110.271,110.343,-1.6,-0.01%
6/14/2018 0:00,110.327,110.693,109.916,110.623,29.6,0.27%
6/15/2018 0:00,110.621,110.906,110.389,110.666,4.5,0.04%
6/18/2018 0:00,110.665,110.734,110.3,110.548,-11.7,-0.11%
6/19/2018 0:00,110.536,110.572,109.548,110.056,-48,-0.44%
6/20/2018 0:00,110.052,110.453,109.855,110.357,30.5,0.28%
6/21/2018 0:00,110.357,110.761,109.844,109.97,-38.7,-0.35%
6/22/2018 0:00,109.98,110.22,109.804,109.988,0.8,0.01%
6/25/2018 0:00,109.841,110.047,109.368,109.761,-8,-0.07%
6/26/2018 0:00,109.757,110.218,109.369,110.024,26.7,0.24%
6/27/2018 0:00,110.023,110.491,109.686,110.27,24.7,0.22%
6/28/2018 0:00,110.247,110.652,109.968,110.496,24.9,0.23%
6/29/2018 0:00,110.474,110.942,110.373,110.699,22.5,0.20%
7/2/2018 0:00,110.605,111.06,110.551,110.883,27.8,0.25%
7/3/2018 0:00,110.894,111.134,110.507,110.573,-32.1,-0.29%
7/4/2018 0:00,110.575,110.606,110.276,110.489,-8.6,-0.08%
7/5/2018 0:00,110.445,110.725,110.287,110.656,21.1,0.19%
7/6/2018 0:00,110.579,110.787,110.38,110.477,-10.2,-0.09%
7/9/2018 0:00,110.375,110.903,110.34,110.843,46.8,0.42%
7/10/2018 0:00,110.846,111.353,110.758,111.047,20.1,0.18%
7/11/2018 0:00,110.984,112.174,110.764,111.998,101.4,0.91%
7/12/2018 0:00,111.991,112.628,111.915,112.525,53.4,0.47%
7/13/2018 0:00,112.528,112.799,112.273,112.363,-16.5,-0.15%
7/16/2018 0:00,112.209,112.563,112.188,112.276,6.7,0.06%
7/17/2018 0:00,112.277,112.925,112.221,112.88,60.3,0.53%
7/18/2018 0:00,112.857,113.136,112.707,112.84,-1.7,-0.02%
7/19/2018 0:00,112.848,113.176,112.051,112.462,-38.6,-0.34%
7/20/2018 0:00,112.459,112.625,111.383,111.444,-101.5,-0.91%
7/23/2018 0:00,111.374,111.543,110.75,111.352,-2.2,-0.02%
7/24/2018 0:00,111.334,111.516,110.963,111.208,-12.6,-0.11%
7/25/2018 0:00,111.188,111.384,110.666,110.963,-22.5,-0.20%
7/26/2018 0:00,110.969,111.251,110.59,111.232,26.3,0.24%
7/27/2018 0:00,111.217,111.252,110.794,111.002,-21.5,-0.19%
7/30/2018 0:00,110.924,111.163,110.887,111.059,13.5,0.12%
7/31/2018 0:00,111.007,111.959,110.728,111.865,85.8,0.77%
8/1/2018 0:00,111.814,112.149,111.387,111.711,-10.3,-0.09%
8/2/2018 0:00,111.715,111.734,111.313,111.64,-7.5,-0.07%
8/3/2018 0:00,111.639,111.877,111.101,111.271,-36.8,-0.33%
8/6/2018 0:00,111.215,111.528,111.152,111.401,18.6,0.17%
8/7/2018 0:00,111.404,111.481,110.994,111.38,-2.4,-0.02%
8/8/2018 0:00,111.368,111.439,110.836,110.951,-41.7,-0.38%
8/9/2018 0:00,110.963,111.183,110.707,111.084,12.1,0.11%
8/10/2018 0:00,111.059,111.17,110.509,110.888,-17.1,-0.15%
8/13/2018 0:00,110.43,110.943,110.112,110.721,29.1,0.26%
8/14/2018 0:00,110.659,111.314,110.588,111.146,48.7,0.44%
8/15/2018 0:00,111.135,111.429,110.429,110.738,-39.7,-0.36%
8/16/2018 0:00,110.74,111.126,110.461,110.9,16,0.14%
8/17/2018 0:00,110.884,111.05,110.313,110.516,-36.8,-0.33%
8/20/2018 0:00,110.581,110.681,110.015,110.07,-51.1,-0.46%
8/21/2018 0:00,110.064,110.546,109.772,110.267,20.3,0.18%
8/22/2018 0:00,110.267,110.613,110.024,110.549,28.2,0.26%
8/23/2018 0:00,110.544,111.317,110.519,111.294,75,0.67%
8/24/2018 0:00,111.268,111.49,111.105,111.257,-1.1,-0.01%
8/27/2018 0:00,111.313,111.348,110.936,111.076,-23.7,-0.21%
8/28/2018 0:00,111.071,111.357,110.957,111.197,12.6,0.11%
8/29/2018 0:00,111.19,111.828,111.123,111.68,49,0.44%
8/30/2018 0:00,111.675,111.754,110.952,111.022,-65.3,-0.59%
8/31/2018 0:00,110.967,111.137,110.688,111.107,14,0.13%
9/3/2018 0:00,111.05,111.186,110.848,111.106,5.6,0.05%
9/4/2018 0:00,111.015,111.53,110.898,111.476,46.1,0.41%
9/5/2018 0:00,111.35,111.76,111.314,111.532,18.2,0.16%
9/6/2018 0:00,111.522,111.53,110.519,110.726,-79.6,-0.72%
9/7/2018 0:00,110.744,111.247,110.379,111.034,29,0.26%
9/10/2018 0:00,111.024,111.246,110.848,111.12,9.6,0.09%
9/11/2018 0:00,111.107,111.643,111.064,111.594,48.7,0.44%
9/12/2018 0:00,111.621,111.651,111.114,111.255,-36.6,-0.33%
